Αγρίνιο;AGQ
Κωνσταντινούπολη;IST
Λάγος;LOS
Λας Βέγκας;LAS
Λος Άντζελες;LAX
Μαϊάμι - International Airport;MIA
Μάλε - Μαλδίβες;MLE
Μανίλα;MNL
Μαυρίκιος;MRU
Μελβούρνη;MEL
Μόσχα;DME
Μόσχα - Sheremetyevo;SVO
Μουμπάι (Βομβάη);BOM
Μουσκάτ;MCT
Μπαλί;DPS
Μπάνγκαλορ;BLR
Μπανγκόκ;BKK
Μπαχάμες;FPO
Μπαχρέιν;BAH
Μπουένος Άιρες;EZE
Μπρίσμπεϊν;BNE
Ναϊρόμπι;NBO
Νέα Υόρκη - John F. Kennedy;JFK
Νέα Υόρκη - La Guardia;LGA
Νέο Δελχί;DEL
Ντάλας;DFW
Νταρ Ες Σαλάμ;DAR
Ντένβερ;DEN
Ντουμπάι;DXB
Ντόχα;DOH
Ορλάντο;MCO
Οσάκα;KIX
Ουάσινγκτον;IAD
Πάναμα Σίτι;PTY
Πεκίνο;PEK
Περθ;PER
Πόλη του Μεξικό;MEX
Πουκέτ;HKT
Ριάντ;RUH
Ρίο ντε Τζανέιρο;GIG
Σαγκάη;PVG
Σαν Φρανσίσκο;SFO
Σανγκάη;SHA
Σάο Πάολο;GRU
Σεούλ;ICN
Σεϋχέλλες;SEZ
Σιάτλ;SEA
Σιγκαπούρη;SIN
Σίδνεϊ;SYD
Σικάγο;ORD
Ταϊπέι;TPE
Τεχεράνη;IKA
Τζακάρτα;CGK
Τζέντα;JED
Τιρουβανανταπουράμ;TRV
Τόκιο;HND
Τόκιο;NRT
Τόκυο;TYO
Τορόντο;YYZ
Τσενάι (Μαντράς);MAA
Τύνιδα;TUN
Φίτζι;NAN
Φορτ Λοντερντέϊλ, Μαϊάμι;FLL
Χιούστον;IAH
Χο Τσι Μινχ;SGN
Χονγκ Κονγκ;HKG
Ώκλαντ;AKL
